Location,Offense_Category,Volume
Farm Facility,Destruction/Damage/Vandalism ,1167
Farm Facility,Embezzlement,24
Farm Facility,Extortion/Blackmail,3
Farm Facility,Fraud,118
Farm Facility,Larceny/Theft,3033
Farm Facility,Motor Vehicle Theft,724
Farm Facility,Robbery,8
Farm Facility,Stolen Property,64
Farm Facility,Animal Cruelty,92
Farm Facility,Drug/Narcotic,106
Farm Facility,Gambling,0
Farm Facility,Pornography/Obscene Material,3
Farm Facility,Prostitution,0
Farm Facility,Weapon Law Violations,32
Field/Woods,Assault,8083
Field/Woods,Homicide,240
Field/Woods,Human Trafficking,4
Field/Woods,Kidnapping_Abduction,154
Field/Woods,Sex,1277
Field/Woods,Arson,1156
Field/Woods,Bribery,2
Field/Woods,Burglary/Breaking & Entering,694
Field/Woods,Counterfeiting/Forgery,49
Field/Woods,Destruction/Damage/Vandalism ,8899
Field/Woods,Embezzlement,22
Field/Woods,Extortion/Blackmail,6
Field/Woods,Fraud,337
Field/Woods,Larceny/Theft,12693
Field/Woods,Motor Vehicle Theft,2245
Field/Woods,Robbery,751
Field/Woods,Stolen Property,716
Field/Woods,Animal Cruelty,357
Field/Woods,Drug/Narcotic,6191
Field/Woods,Gambling,2
Field/Woods,Pornography/Obscene Material,32
Field/Woods,Prostitution,74
Field/Woods,Weapon Law Violations,2121
Gambling Facility/Casino/Race Track,Assault,1760
Gambling Facility/Casino/Race Track,Homicide,7
Gambling Facility/Casino/Race Track,Human Trafficking,1
Gambling Facility/Casino/Race Track,Kidnapping_Abduction,25
Gambling Facility/Casino/Race Track,Sex,48
Gambling Facility/Casino/Race Track,Arson,13
Gambling Facility/Casino/Race Track,Bribery,0
Gambling Facility/Casino/Race Track,Burglary/Breaking & Entering,241
Gambling Facility/Casino/Race Track,Counterfeiting/Forgery,673
Gambling Facility/Casino/Race Track,Destruction/Damage/Vandalism ,629
Gambling Facility/Casino/Race Track,Embezzlement,38
Gambling Facility/Casino/Race Track,Extortion/Blackmail,1
Gambling Facility/Casino/Race Track,Fraud,946
Gambling Facility/Casino/Race Track,Larceny/Theft,3489
Gambling Facility/Casino/Race Track,Motor Vehicle Theft,391
Gambling Facility/Casino/Race Track,Robbery,222
Gambling Facility/Casino/Race Track,Stolen Property,148
Gambling Facility/Casino/Race Track,Animal Cruelty,2
Gambling Facility/Casino/Race Track,Drug/Narcotic,2057
Gambling Facility/Casino/Race Track,Gambling,382
Gambling Facility/Casino/Race Track,Pornography/Obscene Material,4
