State,Offense_Category,Offense_Type,Volume
Michigan,Drug/Narcotic,Society,25083
Michigan,Gambling,Society,23
Michigan,Pornography/Obscene Material,Society,1070
Michigan,Prostitution,Society,508
Michigan,Weapon Law Violations,Society,15803
Minnesota,Assault,Person,28884
Minnesota,Homicide,Person,188
Minnesota,Human Trafficking,Person,50
Minnesota,Kidnapping_Abduction,Person,464
Minnesota,Sex,Person,3014
Minnesota,Arson,Property,454
Minnesota,Bribery,Property,7
Minnesota,Burglary/Breaking & Entering,Property,11528
Minnesota,Counterfeiting/Forgery,Property,3306
Minnesota,Destruction/Damage/Vandalism ,Property,23618
Minnesota,Embezzlement,Property,156
Minnesota,Extortion/Blackmail,Property,144
Minnesota,Fraud,Property,13812
Minnesota,Larceny/Theft,Property,57242
Minnesota,Motor Vehicle Theft,Property,10039
Minnesota,Robbery,Property,2852
Minnesota,Stolen Property,Property,2848
Minnesota,Animal Cruelty,Society,260
Minnesota,Drug/Narcotic,Society,17993
Minnesota,Gambling,Society,12
Minnesota,Pornography/Obscene Material,Society,497
Minnesota,Prostitution,Society,22
Minnesota,Weapon Law Violations,Society,3994
Mississippi,Assault,Person,16016
Mississippi,Homicide,Person,91
Mississippi,Human Trafficking,Person,0
Mississippi,Kidnapping_Abduction,Person,78
Mississippi,Sex,Person,658
Mississippi,Arson,Property,128
Mississippi,Bribery,Property,9
Mississippi,Burglary/Breaking & Entering,Property,4730
Mississippi,Counterfeiting/Forgery,Property,734
Mississippi,Destruction/Damage/Vandalism ,Property,5864
Mississippi,Embezzlement,Property,502
Mississippi,Extortion/Blackmail,Property,36
Mississippi,Fraud,Property,3708
Mississippi,Larceny/Theft,Property,18123
Mississippi,Motor Vehicle Theft,Property,2221
Mississippi,Robbery,Property,398
Mississippi,Stolen Property,Property,720
Mississippi,Animal Cruelty,Society,209
Mississippi,Drug/Narcotic,Society,12103
Mississippi,Gambling,Society,7
Mississippi,Pornography/Obscene Material,Society,119
Mississippi,Prostitution,Society,18
Mississippi,Weapon Law Violations,Society,1425
Missouri,Assault,Person,54524
Missouri,Homicide,Person,402
Missouri,Human Trafficking,Person,36
Missouri,Kidnapping_Abduction,Person,513
Missouri,Sex,Person,2983
Missouri,Arson,Property,760
Missouri,Bribery,Property,3
Missouri,Burglary/Breaking & Entering,Property,13587
Missouri,Counterfeiting/Forgery,Property,3390
Missouri,Destruction/Damage/Vandalism ,Property,25966
Missouri,Embezzlement,Property,502
Missouri,Extortion/Blackmail,Property,71
Missouri,Fraud,Property,12086
Missouri,Larceny/Theft,Property,72422
Missouri,Motor Vehicle Theft,Property,15741
Missouri,Robbery,Property,2865
Missouri,Stolen Property,Property,2415
Missouri,Animal Cruelty,Society,214
Missouri,Drug/Narcotic,Society,40198
Missouri,Gambling,Society,29
Missouri,Pornography/Obscene Material,Society,489
Missouri,Prostitution,Society,106
Missouri,Weapon Law Violations,Society,5048
Montana,Assault,Person,11845
Montana,Homicide,Person,61
